night,eff,eff_poor,tst,waso,waso_poor,sol,rem_pct,n3_pct,restorative_pct,tib,deep,rem,bedtime,waketime,nap_min,steps,kcal,eff_lag1,bedtime_lag1,bedtime_sd7,weekend
2025-12-18,87.0,0.0,527.0,53.0,1.0,15.0,22.770398481973434,23.719165085388994,46.48956356736243,607.5,125.0,120.0,1.35,11.266666666666667,0.0,6081,1668,85.0,0.13333333333333333,0.521901286050295,0
2025-12-19,81.0,1.0,225.0,15.0,0.0,32.516666666666666,37.77777777777778,24.444444444444443,62.22222222222222,277.51666666666665,55.0,85.0,0.3,4.85,0.0,5862,1661,87.0,1.35,0.5526631052788917,1
2025-12-20,82.0,1.0,490.0,25.0,0.0,47.5,22.448979591836736,32.6530612244898,55.10204081632653,595.0,160.0,110.0,0.65,10.033333333333333,0.0,274,1335,81.0,0.3,0.5939064469467116,1
2025-12-21,93.0,0.0,507.0,23.0,0.0,12.5,30.57199211045365,23.668639053254438,54.24063116370809,547.5,120.0,155.0,0.7333333333333333,9.783333333333333,0.0,5507,1641,82.0,0.65,0.5900183837150268,0
2025-12-22,82.0,1.0,513.0,47.0,1.0,30.0,19.103313840155945,27.290448343079923,46.393762183235864,627.5,140.0,98.0,-0.05000000000000071,9.783333333333333,0.0,5474,1877,93.0,0.7333333333333333,0.5911382616989396,0
2025-12-23,93.0,0.0,545.0,20.0,0.0,10.0,23.853211009174313,21.10091743119266,44.95412844036697,587.5,115.0,130.0,0.6333333333333333,10.216666666666667,0.0,3576,1577,82.0,-0.05000000000000071,0.6774719580678256,0
2025-12-24,84.0,1.0,560.0,30.0,0.0,15.0,33.92857142857143,23.571428571428573,57.5,662.5333333333333,132.0,190.0,1.25,11.333333333333334,0.0,6539,1695,93.0,0.6333333333333333,0.4628243178640776,0
2025-12-25,79.0,1.0,552.0,48.0,1.0,35.0,27.17391304347826,25.72463768115942,52.89855072463768,697.5,142.0,150.0,0.35,10.933333333333334,0.0,6037,1660,84.0,1.25,0.49251003803591376,0
2025-12-26,85.0,0.0,385.0,15.0,0.0,40.0,27.272727272727273,24.675324675324674,51.94805194805195,455.0,95.0,105.0,0.38333333333333336,7.716666666666667,0.0,5263,1605,79.0,0.35,0.40886343951166837,1
2025-12-27,90.0,0.0,480.0,20.0,0.0,25.0,27.083333333333332,17.708333333333332,44.791666666666664,535.0,85.0,130.0,2.7666666666666666,11.516666666666667,0.0,8121,1940,85.0,0.38333333333333336,0.4014359147495316,1
2025-12-28,88.0,0.0,330.0,5.0,0.0,35.03333333333333,24.242424242424242,19.696969696969695,43.93939393939394,372.53333333333336,65.0,80.0,1.9333333333333333,8.1,0.0,5578,1639,90.0,2.7666666666666666,0.9282600210429545,0
2025-12-29,87.0,0.0,600.0,60.0,1.0,17.5,27.5,26.666666666666668,54.166666666666664,692.55,160.0,165.0,-0.01666666666666572,11.283333333333333,0.0,6595,1805,88.0,1.9333333333333333,1.0069993143233111,0
2025-12-30,87.0,0.0,318.0,12.0,0.0,30.0,27.67295597484277,28.30188679245283,55.9748427672956,365.0,90.0,88.0,4.033333333333333,10.033333333333333,200.0,2017,1499,87.0,-0.01666666666666572,1.0010576417551595,0
2025-12-31,84.0,1.0,528.0,17.0,0.0,42.5,18.560606060606062,18.939393939393938,37.5,625.0,100.0,98.0,1.15,10.95,0.0,8456,1966,87.0,4.033333333333333,1.4796682024758079,0
2026-01-01,87.0,0.0,535.0,55.0,1.0,17.516666666666666,26.16822429906542,24.299065420560748,50.467289719626166,612.5166666666667,130.0,140.0,0.95,11.083333333333334,0.0,5652,1611,84.0,1.15,1.4832842866869027,0
2026-01-02,82.0,1.0,552.0,39.0,0.0,60.0,27.17391304347826,23.55072463768116,50.72463768115942,672.5333333333333,130.0,150.0,1.2833333333333332,12.116666666666667,0.0,7459,2109,87.0,0.95,1.4208109317230433,1
2026-01-03,87.0,0.0,571.0,34.0,0.0,42.5,32.399299474605954,22.416812609457093,54.81611208406305,660.0,128.0,185.0,0.8333333333333334,11.633333333333333,0.0,7111,1961,82.0,1.2833333333333332,1.3301947186100191,1
2026-01-04,87.0,0.0,510.0,45.0,1.0,25.0,21.568627450980394,22.54901960784314,44.11764705882353,587.5,115.0,110.0,1.3833333333333333,11.05,0.0,6121,1667,87.0,0.8333333333333334,1.278433234233033,0
2026-01-05,88.0,0.0,534.0,36.0,0.0,27.5,35.95505617977528,14.9812734082397,50.93632958801498,607.5,80.0,192.0,1.5,11.466666666666667,0.0,4865,1866,87.0,1.3833333333333333,1.2607264639608449,0
2026-01-06,81.0,1.0,460.0,38.0,0.0,60.0,25.652173913043477,26.52173913043478,52.17391304347826,567.5,122.0,118.0,1.3333333333333333,10.633333333333333,0.0,2398,1509,88.0,1.5,1.1023063843956291,0
2026-01-07,88.0,0.0,558.0,32.0,0.0,17.5,24.731182795698924,17.921146953405017,42.65232974910394,635.0,100.0,138.0,0.7166666666666667,10.833333333333334,0.0,2126,1498,81.0,1.3333333333333333,0.24070003725904757,0
2026-01-08,85.0,0.0,685.0,43.0,1.0,60.0,23.357664233576642,22.18978102189781,45.54744525547445,805.05,152.0,160.0,-0.03333333333333499,13.083333333333334,0.0,7496,1877,88.0,0.7166666666666667,0.3044206919247714,0
2026-01-09,84.0,1.0,615.0,20.0,0.0,45.0,32.520325203252035,23.577235772357724,56.09756097560975,727.55,145.0,200.0,0.05,11.383333333333333,0.0,1851,1493,85.0,-0.03333333333333499,0.5422371842848509,1
2026-01-10,89.0,0.0,317.0,3.0,0.0,32.5,22.082018927444796,17.350157728706623,39.43217665615142,355.0,55.0,70.0,3.4333333333333336,9.3,0.0,2309,1585,84.0,0.05,0.6291423573565087,1
2026-01-11,88.0,0.0,456.0,44.0,1.0,12.5,43.85964912280702,21.49122807017544,65.35087719298245,517.5,98.0,200.0,1.8166666666666667,10.35,158.0,7889,1687,89.0,3.4333333333333336,1.1694976988967818,0
2026-01-12,87.0,0.0,664.0,51.0,1.0,12.5,21.08433734939759,18.373493975903614,39.45783132530121,765.0333333333333,122.0,140.0,0.18333333333333332,12.316666666666666,0.0,4101,1763,88.0,1.8166666666666667,1.1922146037419863,0
2026-01-13,85.0,0.0,548.0,52.0,1.0,30.0,25.182481751824817,19.708029197080293,44.89051094890511,645.0,108.0,138.0,0.8333333333333334,11.333333333333334,0.0,683,1379,87.0,0.18333333333333332,1.2503967624286554,0
2026-01-14,93.0,0.0,525.0,25.0,0.0,7.516666666666667,31.428571428571427,25.714285714285715,57.142857142857146,562.5166666666667,135.0,165.0,0.75,10.05,0.0,5374,1820,85.0,0.8333333333333334,1.247219128924647,0
2026-01-15,76.0,1.0,512.0,123.0,1.0,35.05,36.71875,25.78125,62.5,670.1,132.0,188.0,0.7166666666666667,11.883333333333333,0.0,4459,1589,93.0,0.75,1.2460201192461287,0
2026-01-16,94.0,0.0,548.0,12.0,0.0,12.5,25.547445255474454,23.722627737226276,49.27007299270073,582.5,130.0,140.0,2.5166666666666666,12.05,0.0,4397,1635,76.0,0.7166666666666667,1.1719212733368525,1
2026-01-17,79.0,1.0,585.0,121.0,1.0,22.516666666666666,19.145299145299145,30.427350427350426,49.572649572649574,735.05,178.0,112.0,0.23333333333333334,12.35,0.0,4875,1845,94.0,2.5166666666666666,1.170249600292231,1
2026-01-18,90.0,0.0,493.0,17.0,0.0,32.5,24.34077079107505,27.383367139959432,51.724137931034484,545.0,135.0,120.0,1.15,10.183333333333334,0.0,2392,1478,79.0,0.23333333333333334,0.8555838997572406,0
2026-01-19,89.0,0.0,272.0,18.0,0.0,15.0,29.41176470588235,22.058823529411764,51.470588235294116,305.03333333333336,60.0,80.0,6.5,11.583333333333334,0.0,5822,1606,90.0,1.15,0.7846156340028481,0
2026-01-20,89.0,0.0,395.0,15.0,0.0,15.0,23.29113924050633,24.050632911392405,47.34177215189873,442.5,95.0,92.0,0.5833333333333334,7.666666666666667,0.0,6070,1808,89.0,6.5,2.1866901373111274,0
2026-01-21,91.0,0.0,565.0,25.0,0.0,7.5,23.36283185840708,22.654867256637168,46.017699115044245,622.5,128.0,132.0,0.016666666666666666,9.983333333333333,0.0,1097,1635,89.0,0.5833333333333334,2.2073260655798816,0
2026-01-22,88.0,0.0,576.0,29.0,0.0,20.0,13.88888888888889,23.958333333333332,37.84722222222222,650.0333333333333,138.0,80.0,0.35,10.766666666666667,0.0,4349,1555,91.0,0.016666666666666666,2.280469760387611,0
2026-01-23,85.0,0.0,565.0,40.0,0.0,42.5,20.353982300884955,26.548672566371682,46.902654867256636,665.0333333333333,150.0,115.0,1.15,11.95,0.0,4147,1662,88.0,0.35,2.3101369665525904,1
2026-01-24,87.0,0.0,665.0,40.0,0.0,50.03333333333333,26.76691729323308,20.30075187969925,47.067669172932334,765.0333333333333,135.0,178.0,-0.6000000000000014,11.983333333333333,0.0,6008,2013,85.0,1.15,2.279413852995439,1
2026-01-25,92.0,0.0,586.0,37.0,0.0,7.5,30.37542662116041,25.255972696245735,55.63139931740614,640.0,148.0,178.0,1.0,11.5,0.0,4689,1859,87.0,-0.6000000000000014,2.3719787243529544,0
2026-01-26,92.0,0.0,550.0,25.0,0.0,15.0,23.636363636363637,25.818181818181817,49.45454545454545,597.5,142.0,130.0,0.4166666666666667,10.25,0.0,4097,1526,92.0,1.0,2.374311373294265,0
2026-01-27,83.0,1.0,483.0,73.0,1.0,22.5,15.527950310559007,20.70393374741201,36.231884057971016,582.55,100.0,75.0,0.6666666666666666,10.3,0.0,5100,1995,92.0,0.4166666666666667,0.5921555101053657,0
2026-01-28,89.0,0.0,775.0,81.0,1.0,10.0,25.806451612903224,23.483870967741936,49.29032258064516,870.0333333333333,182.0,200.0,-4.533333333333335,9.883333333333333,0.0,2481,1466,83.0,0.6666666666666666,0.5968834402710791,0
2026-01-29,86.0,0.0,543.0,57.0,1.0,22.5,23.02025782688766,23.572744014732965,46.59300184162063,630.0,128.0,125.0,-0.216666666666665,10.166666666666666,0.0,4829,1795,89.0,-4.533333333333335,1.9845634440581792,0
2026-01-30,80.0,1.0,557.0,48.0,1.0,50.0,23.33931777378815,22.44165170556553,45.78096947935368,695.1,125.0,130.0,-1.0,9.916666666666666,0.0,4857,1599,86.0,-0.216666666666665,1.9688647925717422,1
2026-01-31,85.0,0.0,435.0,35.0,0.0,27.5,21.379310344827587,27.586206896551722,48.96551724137931,512.5666666666667,120.0,93.0,2.7,11.0,0.0,5229,2172,80.0,-1.0,1.8697359969826477,1
2026-02-01,87.0,0.0,565.0,38.0,0.0,22.516666666666666,32.389380530973455,28.672566371681416,61.06194690265487,645.0666666666667,162.0,183.0,-0.9166666666666679,9.5,0.0,8087,2060,85.0,2.7,2.249911814850345,0
2026-02-02,85.0,0.0,565.0,35.0,0.0,55.016666666666666,22.123893805309734,22.123893805309734,44.24778761061947,665.0666666666667,125.0,125.0,-0.9166666666666679,10.0,0.0,5480,1704,87.0,-0.9166666666666679,2.204492767007494,0
2026-02-03,84.0,1.0,608.0,47.0,1.0,35.0,23.026315789473685,21.38157894736842,44.4078947368421,722.55,130.0,140.0,-1.533333333333335,9.966666666666667,0.0,5496,1609,85.0,-0.9166666666666679,2.1784174635506948,0
2026-02-04,82.0,1.0,578.0,77.0,1.0,47.5,32.00692041522491,18.685121107266436,50.69204152249135,702.5666666666667,108.0,185.0,-1.6166666666666671,10.1,0.0,11801,2266,84.0,-1.533333333333335,2.122803876079063,0
2026-02-05,84.0,1.0,297.0,23.0,0.0,25.0,31.986531986531986,10.1010101010101,42.08754208754209,355.0,30.0,95.0,-0.8666666666666671,4.883333333333333,0.0,11817,2264,82.0,-1.6166666666666671,1.4850489454460305,0
2026-02-08,87.0,0.0,580.0,53.0,1.0,12.5,26.724137931034484,18.103448275862068,44.827586206896555,667.5333333333333,105.0,155.0,-0.8000000000000007,9.95,0.0,2466,1553,83.0,-0.6000000000000014,0.40562023837300154,0
2026-02-09,84.0,1.0,674.0,61.0,1.0,30.0,21.068249258160236,28.189910979228486,49.25816023738872,797.6,190.0,142.0,-1.8000000000000007,10.95,0.0,5746,1885,87.0,-0.8000000000000007,0.4173549870136669,0
2026-02-10,83.0,1.0,655.0,60.0,1.0,17.5,22.595419847328245,26.717557251908396,49.31297709923664,785.0833333333334,175.0,148.0,0.4166666666666667,12.616666666666667,0.0,5019,1858,84.0,-1.8000000000000007,0.50513107943127,0
2026-02-11,78.0,1.0,210.0,15.0,0.0,35.0,21.428571428571427,19.047619047619047,40.476190476190474,267.5,40.0,45.0,1.1166666666666667,5.45,140.0,3163,1574,83.0,0.4166666666666667,0.7944017082522341,0
2026-02-12,83.0,1.0,380.0,20.0,0.0,40.0,26.31578947368421,22.36842105263158,48.68421052631579,457.5,85.0,100.0,-1.1166666666666671,6.216666666666667,100.0,4505,1553,78.0,1.1166666666666667,1.0336379479331255,0
2026-02-13,82.0,1.0,577.0,78.0,1.0,35.0,21.663778162911612,20.797227036395146,42.46100519930676,700.0,120.0,125.0,0.4166666666666667,11.916666666666666,0.0,5944,1700,83.0,-1.1166666666666671,1.0598436292767504,1
2026-02-14,86.0,0.0,525.0,25.0,0.0,15.0,28.19047619047619,21.904761904761905,50.095238095238095,610.05,115.0,148.0,0.5833333333333334,10.0,0.0,6863,2010,82.0,0.4166666666666667,1.0231448562277938,1
2026-02-15,87.0,0.0,575.0,50.0,1.0,30.033333333333335,24.0,26.956521739130434,50.95652173913044,662.5833333333334,155.0,138.0,-0.10000000000000142,10.816666666666666,0.0,2975,1499,86.0,0.5833333333333334,1.0693728073306323,0
2026-02-16,91.0,0.0,655.0,50.0,1.0,12.5,35.87786259541985,24.427480916030536,60.30534351145038,717.5333333333333,160.0,235.0,-1.3999999999999986,10.566666666666666,0.0,6524,1837,87.0,-0.10000000000000142,1.0326354530210435,0
2026-02-17,85.0,0.0,495.0,55.0,1.0,30.0,25.252525252525253,26.262626262626263,51.515151515151516,582.5,130.0,125.0,0.65,10.316666666666666,0.0,5024,1633,91.0,-1.3999999999999986,0.9264985002143645,0
2026-02-18,81.0,1.0,275.0,15.0,0.0,45.0,27.272727272727273,30.90909090909091,58.18181818181818,340.0,85.0,75.0,-0.43333333333333357,5.15,157.0,7204,1709,85.0,0.65,0.9484253170442983,0
